# Метеостанция Астана, Казахстан, WMO_ID=35188, выборка с 15.05.2025 по 22.05.2025, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
22.05.2025 20:00;22,7;720,8;750,2;-3,2;44;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;24,6;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;4,0;9,7;Следы осадков;12;;;;
22.05.2025 17:00;21,8;724,0;753,6;-3,1;49;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые плотные, образовавшиеся от кучево-дождевых.;4,0;10,5;;;;;;
22.05.2025 14:00;23,6;727,1;756,7;-2,1;39;Ветер, дующий с юга;1;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;8,7;;;;;;
22.05.2025 11:00;21,6;729,2;759,1;-0,7;41;Ветер, дующий с юга;1;;;100%.; ;;;11,7;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые плотные, образовавшиеся от кучево-дождевых.;4,0;7,8;;;;;;
22.05.2025 08:00;18,8;729,9;760,0;-0,4;56;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;4,0;9,7;;;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;10,0;;
22.05.2025 05:00;12,8;730,3;761,2;0,1;81;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;4,0;9,5;;;;;;
22.05.2025 02:00;14,6;730,2;760,9;-0,4;73;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;9,8;;;;;;
21.05.2025 23:00;17,0;730,6;761,0;0,3;68;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;26,1;;;;;;;10,9;;;;;;
21.05.2025 20:00;21,3;730,3;760,3;0,2;53;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;26,1;;;;;;4,0;11,3;;;;;;
21.05.2025 17:00;24,3;730,1;759,7;0,4;55;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;4,0;14,7;;;;;;
21.05.2025 14:00;24,9;729,7;759,2;0,0;49;Ветер, дующий с запада;3;;;60%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;13,4;;;;;;
21.05.2025 11:00;22,7;729,7;759,5;0,3;41;Ветер, дующий с юго-востока;4;;;40%.; ;;;16,2;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;8,6;Следы осадков;12;;;;
21.05.2025 08:00;18,2;729,4;759,7;0,2;47;Ветер, дующий с юго-юго-востока;3;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;6,5;Следы осадков;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;12,0;;
21.05.2025 05:00;16,3;729,2;759,7;0,5;49;Ветер, дующий с юга;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;5,4;;;;;;
21.05.2025 02:00;18,4;728,7;758,9;-1,0;44;Ветер, дующий с юга;2;;;90  или более, но не 100%;Дождь (незамерзающий) неливневый. ;Дождь.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;5,7;;;;;;
20.05.2025 23:00;20,1;729,7;759,7;-0,8;36;Ветер, дующий с юга;2;;;20–30%.; ;;;;23,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;;4,7;;;;;;
20.05.2025 20:00;21,5;730,5;760,5;-1,0;32;Ветер, дующий с юга;2;;;60%.; ;;;;23,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;4,0;;;;;;
20.05.2025 17:00;22,5;731,5;761,4;-1,2;33;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";4,0;5,6;;;;;;
20.05.2025 14:00;21,9;732,7;762,7;-1,4;34;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;4,0;5,2;;;;;;
20.05.2025 11:00;20,2;734,1;764,3;-1,0;39;Ветер, дующий с юга;3;;;Облаков нет.; ;;;10,2;;;;;;;4,0;5,6;;;;;;
20.05.2025 08:00;15,3;735,1;765,9;0,2;58;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;4,0;7,1;;;Поверхность почвы влажная.;7,0;;
20.05.2025 05:00;10,2;734,9;766,3;-0,2;79;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;4,0;6,6;;;;;;
20.05.2025 02:00;11,8;735,1;766,3;-0,3;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;7,1;;;;;;
19.05.2025 23:00;13,1;735,4;766,4;0,0;68;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;19,5;;;;;;;7,2;;;;;;
19.05.2025 20:00;17,3;735,4;766,0;0,1;47;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;19,5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;5,9;;;;;;
19.05.2025 17:00;18,4;735,3;765,7;0,3;40;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;4,5;;;;;;
19.05.2025 14:00;17,6;735,0;765,5;0,3;44;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;5,0;;;;;;
19.05.2025 11:00;18,5;734,7;765,1;1,1;41;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;7,5;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;5,0;;;;;;
19.05.2025 08:00;13,3;733,6;764,6;1,4;72;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;4,0;8,3;;;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;5,0;;
